ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,PAY_AMT1,BILL_AMT2,PAY_AMT2,BILL_AMT3,PAY_AMT3,BILL_AMT4,PAY_AMT4,BILL_AMT5,PAY_AMT5,BILL_AMT6,PAY_AMT6,default.payment.next.month
7440,10000,2,2,2,22,1,-1,-1,-2,-2,-2,0,1000,1000,0,0,0,0,0,0,0,0,0,1
7441,50000,2,2,2,38,0,0,-1,0,0,-1,2410,0,0,4494,4494,61,3034,47,2327,5892,5892,164,0
7442,80000,1,2,1,40,0,0,0,-1,-1,-1,23833,5000,17815,5000,15140,5000,140,3100,3090,1000,180,5000,0
7443,260000,2,1,1,49,1,-2,-2,-1,0,0,0,0,0,0,0,1180,1180,0,1180,0,0,0,0
7444,170000,1,3,2,26,2,0,0,0,0,0,74453,5020,66087,3003,60649,3009,61408,2013,59390,3041,57037,3000,1
7445,30000,2,3,2,25,0,0,0,0,0,0,20983,2000,22636,2500,24417,3000,27020,1500,28107,1056,28727,544,0
7446,50000,2,3,2,51,0,0,0,0,0,0,25577,1269,26352,1284,16846,1000,17562,1000,18275,740,18711,1000,0
7447,120000,1,3,1,40,0,0,0,0,0,0,88185,5000,91748,4251,94242,6000,88828,10000,97643,3019,79371,13154,0
7448,240000,2,2,1,31,2,0,0,0,0,0,71876,3100,72382,2400,72155,2367,72543,2435,73011,2500,73484,3000,1
7449,180000,1,1,2,41,0,-1,-1,-1,0,0,16366,18339,18339,2766,2766,97996,97996,1861,55156,1196,36213,3000,0
7450,60000,2,3,2,26,0,0,0,0,0,0,38726,1663,39764,1983,41084,1640,41741,1542,42461,1703,43457,1758,0
7451,150000,2,3,2,32,0,0,0,0,0,0,113932,2500,87187,3000,81491,2000,77078,5000,66927,5055,50881,5000,1
7452,360000,2,2,2,26,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
7453,350000,2,1,2,32,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
7454,30000,2,1,1,43,-1,-1,-1,-2,-2,-2,390,780,780,0,0,0,0,0,0,0,0,0,0
7455,120000,2,1,2,29,0,0,0,0,0,0,121805,4600,120933,4300,120629,4200,116316,4219,117358,4500,118560,7600,0
7456,330000,1,1,1,43,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
7457,5.00E+05,1,2,2,44,-2,-2,-1,0,0,-2,26697,1131,26319,150042,79424,4790,77920,3236,55625,866,30092,630,0
7458,1.00E+05,2,2,1,34,0,0,0,0,0,0,102724,4600,100186,5000,102604,4000,101856,4000,101105,4200,101071,3800,0
7459,80000,2,2,1,37,1,2,-1,-1,-1,-1,2626,0,2410,3237,3237,2760,2760,914,914,0,0,0,0
7460,260000,2,2,2,30,0,0,0,0,0,0,34405,20000,52512,1826,52263,1971,52261,2000,52140,2500,52615,2000,0
7461,5.00E+05,1,2,1,41,0,0,0,0,0,0,171565,20241,184782,20154,152365,20019,139757,20151,153348,20037,127391,21,0
7462,90000,1,1,2,52,0,0,0,0,0,0,91656,5110,87106,2000,48730,3000,27535,1000,27751,3000,29923,3000,0
7463,360000,2,2,1,38,-1,-1,-1,-1,-1,-1,1604,239,238,2414,2402,3597,3580,183,183,2005,1995,3635,0
7464,360000,1,3,2,34,-1,-1,-1,-1,-1,-1,3821,1937,1937,944,944,1219,1219,2216,2216,2000,1440,648,0
7465,1.00E+05,2,2,2,25,0,0,0,-1,-1,-1,8791,1000,4910,0,0,674,674,0,0,980,980,4413,0
7466,2.00E+05,1,2,2,36,0,0,0,0,0,0,190120,9000,194533,9000,194175,8000,189457,10000,187050,8000,187082,7000,1
7467,490000,2,2,2,52,0,0,0,0,0,0,191937,7133,194347,11365,202400,1700,46634,1740,47622,4026,50844,2060,0
7468,460000,1,1,1,40,0,0,0,0,0,0,100026,5095,89681,5011,81812,5047,82326,4021,76055,4071,74979,3000,0
7469,20000,1,1,2,39,1,2,2,2,2,2,10968,2000,12495,0,11998,2000,13795,0,13431,3000,16199,0,1
7470,230000,2,2,1,35,0,0,0,0,0,0,76050,3000,76921,4000,65452,3000,61129,3000,55199,2000,55380,3000,0
7471,170000,2,2,2,28,0,0,0,0,0,0,169531,8000,174799,8000,179868,7000,177952,7000,176160,8000,175304,9000,0
7472,60000,2,3,1,63,0,0,0,0,0,0,56285,5000,56894,2156,57006,3017,28198,2009,23888,3000,24083,3000,0
7473,90000,2,2,1,33,0,0,2,0,0,0,26772,56388,70398,112,56266,1779,47804,1786,44230,5414,48144,2418,0
7474,160000,1,1,1,38,1,-1,-1,-2,-2,-2,0,499,499,0,0,0,0,0,0,0,0,0,0
7475,20000,1,2,2,30,2,2,2,0,0,0,20586,1300,20568,700,20185,700,20016,1700,20044,1600,20172,700,1
7476,5.00E+05,2,1,1,36,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,200,200,159200,0
7477,30000,2,2,1,42,0,0,0,0,0,0,9801,1200,10535,1200,11552,573,11933,500,12092,6000,17884,1200,1
7478,170000,1,2,2,31,-1,-1,-1,-1,0,-1,2908,3408,3408,2908,2908,9283,9283,0,2908,2908,2908,7163,0
7479,1.00E+05,2,3,1,44,0,0,0,0,0,0,80808,3025,77825,3000,70721,3000,69603,3000,65499,3000,62296,3000,0
7480,50000,1,2,2,39,0,0,0,0,0,0,48493,2109,49073,2406,50370,1278,29862,1036,29275,1115,29535,947,0
7481,110000,1,2,2,28,2,2,2,2,0,0,111541,5400,113676,4000,114223,0,110876,4000,107710,3700,90071,4000,1
7482,20000,2,1,2,23,0,0,2,0,0,0,11672,2424,8584,0,8279,284,8444,294,8621,371,8868,500,0
7483,70000,2,3,2,26,0,0,0,0,0,0,28995,1600,30131,2000,31610,7000,37209,5000,40749,1500,40541,1500,0
7484,310000,2,2,1,42,-2,-2,-2,-2,-2,-1,-606,45484,44878,20033,19950,79520,79227,94,20097,25910,25594,10933,0
7485,30000,1,2,2,28,2,2,2,2,0,0,35991,2000,35751,1200,34639,0,32493,1500,32001,3100,33064,0,1
7486,30000,2,2,1,27,0,0,2,2,2,2,21632,3300,24267,1000,24572,1000,24872,1100,25427,1000,25860,1100,1
7487,1.00E+05,2,1,1,36,0,0,0,-2,-2,-2,51713,1000,25272,0,0,0,0,0,0,0,0,0,0
7488,150000,2,1,2,30,-2,-2,-2,-2,-2,-2,217,0,0,2403,2403,0,0,4932,4932,402,402,3516,0
7489,80000,1,2,2,27,0,0,0,0,0,0,78406,1500,52520,3024,27543,1200,51180,2000,27017,2000,28560,1000,0
7490,2.00E+05,2,3,1,40,0,0,0,0,0,2,158809,5380,150904,5141,144302,5032,137700,9400,135443,4400,128229,0,0
7491,20000,1,2,1,36,1,2,2,2,2,0,19006,0,18418,2690,20465,900,20381,0,18446,1000,18598,1000,1
7492,30000,1,2,1,33,0,0,0,0,0,0,23900,2000,25507,1418,26489,946,27017,1437,56186,3000,29146,0,0
7493,50000,2,3,1,42,0,0,0,0,0,0,13436,1246,14460,1258,15472,564,15778,585,16109,586,16427,608,0
7494,130000,2,5,1,32,0,-1,-1,0,0,0,3275,376,376,17055,17055,575,14693,449,14855,1000,14817,339,0
7495,330000,1,1,2,32,0,0,0,0,0,0,162657,5500,151305,4723,138277,5500,141453,4000,112633,10700,121242,4500,0
7496,80000,2,3,2,53,-2,-2,-2,-2,-2,-2,5687,0,0,0,0,19230,19230,0,0,0,0,0,0
7497,50000,2,1,1,34,-1,-1,-1,-1,-1,-1,2531,14608,14504,22730,22553,14911,14900,6758,6758,3727,3727,2440,0
7498,150000,2,1,2,33,-1,0,0,-2,-2,-2,10544,2000,11982,0,-18,0,-18,0,-18,0,-18,0,0
7499,210000,2,2,1,30,1,-1,-1,0,0,-1,0,241,241,4651,4651,95,4746,301,3938,3479,3479,1000,0
7500,30000,2,2,1,30,3,2,2,-2,-2,-2,30583,389,29901,0,0,0,0,0,0,0,0,0,0
7501,5.00E+05,2,1,2,30,1,-1,2,-1,-1,-1,17144,3678,2447,6,1221,1162,1157,1133,1133,1010,2107,5,0
7502,60000,2,1,2,32,1,2,-1,-1,-1,-1,31634,0,5720,18026,18026,0,0,279,279,0,-101,56839,0
7503,20000,2,2,1,29,-1,-1,-1,-1,0,0,1473,390,390,390,390,870,870,0,480,300,780,1500,0
7504,30000,2,2,2,23,2,2,2,0,0,2,21034,7000,27321,0,26589,1200,27050,3000,29446,0,28825,2000,1
7505,120000,1,2,1,60,2,2,2,2,2,2,27497,1200,27960,1800,28996,1100,29321,1100,29803,1350,30511,1500,1
7506,80000,2,2,1,37,1,2,0,0,0,0,79900,21,64815,1819,52806,5000,57028,4000,59456,4000,55623,1894,1
7507,360000,2,1,1,35,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
7508,150000,1,2,1,36,-1,-1,-1,0,0,-1,6750,15227,15227,17610,17610,10055,19467,0,3173,1534,1534,0,0
7509,10000,2,3,2,51,0,0,0,0,0,0,53095,2134,54562,1000,5428,2500,7928,122,6091,0,0,0,0
7510,230000,2,3,1,30,0,-1,0,0,0,0,134272,107000,238601,3826,135099,5000,133431,5000,53103,2000,49586,3000,0
7511,380000,2,3,2,31,-1,-1,-1,-1,-1,-1,3859,9240,9194,15233,15157,11202,11147,12493,12483,13748,13680,18061,0
7512,350000,2,1,2,48,-2,-2,-2,-2,-2,-2,0,7900,7900,0,7620,790,790,0,0,0,0,1948,0
7513,130000,2,2,2,23,0,0,0,0,0,0,113900,5000,109062,6000,105252,10000,103969,10000,104254,5000,99525,9000,0
7514,490000,2,1,2,29,-2,-1,-1,0,0,0,4301,16388,16230,28800,28800,0,27870,0,27540,6136,27630,3080,0
7515,150000,2,2,2,28,0,-1,0,-1,-1,-2,12272,4447,4447,1000,5228,1623,1623,0,0,0,0,0,0
7516,340000,2,2,2,38,-2,-2,-2,-2,-2,-2,0,780,780,0,0,0,0,0,0,0,0,0,1
7517,80000,2,1,2,52,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
7518,230000,2,1,2,36,-2,-2,-2,-2,-2,-2,0,0,0,0,0,1279,1279,0,0,2794,2794,0,0
7519,160000,1,2,2,37,0,0,0,0,0,0,119165,6008,118392,6011,117553,3606,113256,3803,112678,4003,111924,3311,0
7520,3.00E+05,2,2,1,33,-1,-1,-1,-1,-2,-1,1326,0,0,256,256,0,0,0,0,126,126,0,0
7521,4.00E+05,2,2,1,24,0,0,0,0,0,0,176294,44776,190256,1502,89128,2026,39276,1015,23440,52100,59922,5101,0
7522,80000,2,2,1,45,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,390,390,390,390,390,0
7523,320000,1,2,1,45,-1,-1,-1,-1,-1,-1,1471,5318,5184,4160,4144,6296,6290,977,977,23,-23,0,0
7524,310000,1,1,2,36,-2,-2,-2,-2,-2,-1,17611,10000,24122,4000,26242,0,21026,0,18121,7842,7842,24003,0
7525,270000,2,2,1,32,-2,-2,-1,0,0,-2,3979,511,511,10069,10069,186,9214,199,199,0,0,0,0
7526,280000,2,3,1,53,0,0,2,0,0,0,4405,3000,7322,0,7043,2000,8932,1000,9654,2000,10774,2000,0
7527,330000,1,1,2,31,0,0,-1,-1,0,0,163406,7558,137664,5000,3381,42054,40635,3000,40490,2000,38431,1100,0
7528,50000,1,2,2,49,0,0,0,2,2,2,7282,1300,8307,1700,9709,0,9404,1000,10254,0,9940,200,0
7529,240000,2,1,2,26,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
7530,180000,2,3,2,27,-1,-1,-1,-1,-1,-1,3898,0,0,715,715,6942,4079,0,0,213,213,0,0
7531,270000,1,1,2,28,4,4,3,2,2,2,237881,0,232799,0,227597,8400,230751,9000,235931,8700,240595,9000,1
7532,70000,1,1,2,36,2,2,2,2,2,2,50016,0,48941,4000,51809,0,50675,5000,54839,0,53803,4000,1
7533,290000,1,1,2,27,0,0,0,0,0,0,246284,10000,218441,8000,176099,6500,170282,7000,166869,10000,173273,10000,0
7534,350000,2,1,2,41,-2,-2,-2,-2,-2,-2,0,3813,3813,1298,1298,500,500,2398,2398,0,0,1902,0
7535,210000,1,2,1,54,2,-1,-1,-1,-1,-1,471,176,176,195,195,485,485,0,210,4466,3483,417,0
7536,110000,1,2,2,47,2,2,2,2,2,2,53016,5000,56532,2500,57502,2500,58460,2500,59876,0,58761,5000,1
7537,3.00E+05,1,2,1,32,-1,-1,-1,-1,-1,-2,2884,1706,1706,2964,2960,579,579,0,0,0,0,2937,1
7538,140000,2,2,2,38,0,0,0,0,0,2,141453,8000,132415,3100,130305,3000,79775,5417,74462,0,74954,500,0
7539,80000,1,1,2,27,0,0,2,0,0,0,77111,6384,81555,0,72868,2100,55780,2100,53523,2200,54679,2200,0
7540,360000,2,2,1,42,-1,-1,-1,-1,-2,-2,44380,968,968,990,990,390,390,390,390,3103,3103,0,0
7541,210000,2,2,2,33,0,0,0,0,0,0,19951,2000,21620,2000,23251,1500,24358,2000,25805,1800,27168,1500,0
7542,50000,1,2,2,22,-1,2,2,2,0,0,19875,0,19273,2500,21133,0,19121,1000,19663,1050,20235,600,1
7543,80000,2,1,2,28,1,-2,-2,-2,-1,-1,0,0,0,0,0,0,0,2284,2284,0,-786,0,1
7544,130000,2,3,2,27,0,0,0,0,0,0,49780,2300,51200,50577,88209,2000,53958,2000,50577,1488,41585,1542,0
7545,50000,2,1,2,22,0,0,0,0,0,0,49077,2610,47610,2609,46490,715,21056,930,20425,2000,20632,770,0
7546,80000,2,3,2,34,-2,-2,-2,-2,-2,-2,585,395,-395,1846,-2241,8759,0,0,0,0,0,0,0
7547,350000,1,1,2,35,-1,-1,2,2,2,-1,3260,4273,4248,0,785,0,135,1006,0,1006,1006,0,0
7548,330000,2,2,1,37,-2,-2,-2,-2,-2,-2,2148,0,0,3080,3080,3119,3119,0,0,7255,7255,9060,0
7549,80000,2,2,2,23,2,2,2,0,0,2,20661,2500,22515,1500,23339,1000,23654,2000,25119,0,24567,1058,0
7550,280000,2,1,1,51,-1,-1,-1,-1,-1,-1,11223,15262,15225,4951,4951,2408,2408,8360,8360,6202,6202,200,0
7551,30000,1,2,2,49,0,0,0,0,0,-2,27414,1526,26910,1696,25321,1015,19455,0,0,0,0,0,0
7552,2.00E+05,1,3,1,44,0,0,0,0,0,0,69106,3000,70393,4000,73220,3000,74419,3000,76078,3000,77822,3000,0
7553,120000,2,1,2,26,-1,-1,-1,-1,-1,-1,2897,485,481,721,721,444,444,710,710,1920,1920,0,0
7554,50000,2,2,1,38,0,0,0,-2,-2,-2,3239,1000,4166,0,0,0,0,0,0,0,0,0,0
7555,50000,1,2,2,31,1,2,0,0,0,0,18190,0,12521,2000,14308,1000,14769,1542,15925,764,15441,3000,0
7556,3.00E+05,1,1,1,58,1,2,2,2,2,2,158230,6000,160242,0,156171,12000,165556,6500,169250,6500,172804,6500,1
7557,20000,1,2,2,30,0,-1,0,0,0,0,12755,832,832,1000,2800,900,1231,500,1052,0,0,0,0
7558,50000,1,2,2,46,0,0,0,0,0,0,47772,2000,46935,1221,33937,595,19277,1000,14563,3500,17293,2000,1
7559,5.00E+05,2,2,2,44,0,0,0,0,0,0,77257,10000,73089,10000,81210,10000,88888,20000,107072,10000,115264,0,0
7560,130000,2,2,1,40,-1,-1,-1,0,-1,-1,1445,1445,1445,1651,1651,0,1651,390,390,0,0,780,0
7561,70000,2,1,2,28,2,2,2,2,2,2,59794,0,58267,6672,63931,2300,64585,2800,66207,2600,67577,0,1
7562,70000,2,3,2,29,-1,-1,2,0,0,0,24336,3010,25510,0,24726,875,25377,600,24818,1000,14978,600,0
7563,120000,2,2,2,27,0,0,0,0,0,2,36175,3000,37062,2000,32916,1500,30947,2000,22974,0,19539,8000,0
7564,340000,1,2,1,48,0,0,0,0,0,0,73627,3870,75052,3819,76022,2823,76402,2876,75356,2853,76237,2863,0
7565,130000,1,1,2,41,-1,-1,-1,-1,-1,-1,1392,0,0,696,696,1076,1076,316,316,696,696,696,1
7566,240000,1,1,2,33,0,0,0,0,0,0,239009,15018,243242,35521,242128,20003,216017,7009,199069,15018,202358,20100,0
7567,50000,2,2,1,37,0,0,0,0,0,2,28522,1849,29906,5000,34057,1417,34611,4488,38359,0,37592,1540,0
7568,210000,2,2,1,48,-1,-1,-1,-1,-1,0,11876,11876,11876,11876,11876,11876,11876,18954,18954,5000,11876,11876,0
7569,30000,1,2,2,30,2,2,2,2,2,2,20732,1347,21451,0,20808,1300,21761,1500,22762,900,23139,0,1
7570,80000,2,2,2,22,0,0,0,0,0,0,76737,3500,70614,10092,68502,966,27160,2000,27712,2000,29245,1037,0
7571,50000,1,3,1,42,0,0,0,0,0,0,50708,1872,44610,1566,44043,983,28557,1027,27903,3000,29164,999,0
7572,220000,2,3,1,25,0,0,0,0,0,0,93674,3500,123673,4846,92036,3000,93935,3000,94607,3000,93903,10000,0
7573,40000,1,2,1,37,1,2,0,0,0,0,12127,0,11647,2000,13138,2000,14903,3000,17664,2000,19371,2000,0
7574,280000,1,1,2,26,0,0,0,0,2,2,245969,10600,251120,9300,254735,20000,270486,10000,276026,0,271408,11000,0
7575,90000,2,2,1,31,-1,-1,-2,-2,-2,-2,350,0,0,0,0,0,0,0,0,0,0,0,0
7576,180000,2,2,2,39,0,0,0,0,0,0,166915,6000,117351,7030,115402,8000,105844,5396,98396,5390,101390,5006,0
7577,50000,1,2,2,30,0,0,0,0,0,0,32781,1489,31702,1326,26829,642,18948,2000,18830,824,19358,1000,1
7578,320000,1,2,2,27,0,0,0,0,0,0,144648,8000,150320,6000,151365,5671,154025,5700,157082,5741,160217,9900,0
7579,70000,1,2,1,38,0,0,0,0,0,0,52121,1965,53235,1995,52015,1336,38985,1430,36097,1500,36995,1292,0
7580,260000,2,1,2,36,1,2,2,2,2,2,2111,0,545,2007,2332,0,1277,1020,1996,0,1020,923,1
7581,360000,1,1,1,38,0,0,0,0,0,0,277523,4013,117239,90054,121284,9011,93951,3007,58200,2592,52585,1013,0
7582,1.00E+05,2,2,2,38,0,0,0,0,0,0,89842,4025,82669,2511,70018,1523,57847,1292,43618,1236,38715,627,0
7583,1.00E+05,2,1,1,32,-1,-1,-1,-1,-1,0,380,380,380,380,380,380,380,425,425,1000,1045,0,1
7584,140000,2,2,1,39,0,0,0,0,0,0,133641,7000,136663,6010,137110,6000,139761,5400,137215,5000,133572,5200,0
7585,90000,2,2,2,28,1,2,2,2,0,0,83480,8000,89264,3000,89896,0,86706,3000,87385,5000,88351,5000,0
7586,220000,1,1,2,25,-1,-1,0,0,0,0,-1855,88444,84332,4000,85897,5000,90106,5000,94129,8000,101037,5000,0
7587,260000,2,1,2,34,-2,-2,-2,-2,-2,-2,5237,0,0,0,0,0,0,3982,3982,0,0,0,0
7588,260000,2,1,1,42,-1,-1,-1,-2,-2,-2,78,984,984,0,0,0,0,0,0,0,0,0,0
7589,20000,1,1,2,24,-1,-1,-1,0,0,-2,4720,0,0,20200,20200,0,20000,0,0,0,0,0,0
7590,50000,2,1,2,27,2,0,0,0,0,0,49296,1881,50080,1915,50725,1472,43492,4012,44377,2008,41297,10002,0
7591,70000,2,2,2,23,0,0,0,0,0,0,57034,2700,58224,2500,59158,2500,60675,2500,62047,4300,65298,3000,0
7592,170000,2,2,1,36,2,2,2,2,2,2,15031,2500,16784,1500,17711,0,17131,1500,18197,1000,18748,0,1
7593,30000,2,2,2,22,0,0,0,0,0,0,30719,1900,30123,1626,30112,1267,26763,766,22303,10000,24397,919,0
7594,2.00E+05,1,2,2,68,0,0,0,0,0,0,203533,8870,204149,7578,179350,5700,152525,5882,152765,5799,152680,5888,0
7595,50000,2,2,2,39,0,0,0,0,0,0,16729,1620,17772,1267,18419,634,18786,665,19187,668,17175,1000,0
7596,50000,1,2,2,30,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
7597,470000,2,2,1,35,0,0,0,0,0,0,64875,2505,57920,3000,59307,3016,61500,2200,59563,3000,57368,1600,0
7598,20000,2,1,2,22,-1,-1,-1,-1,0,-1,7702,274,274,1395,1395,10555,10555,0,9500,9588,9588,491,1
7599,50000,1,2,2,26,2,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,0,0,873,0
7600,360000,2,2,1,56,0,0,0,0,0,0,500090,15900,477461,16489,455591,14128,430313,13210,406010,10442,377820,9500,0
7601,20000,2,2,3,46,1,-2,-1,0,0,-1,0,0,0,390,390,0,390,0,390,150,150,390,0
7602,140000,2,1,2,26,-1,-1,-1,-1,-1,-1,6208,2136,2136,6573,6573,0,0,770,770,0,0,0,0
7603,10000,2,3,1,47,0,0,0,0,0,0,2855,1069,3871,1081,4883,251,5053,375,5275,0,0,0,1
7604,90000,2,1,2,30,0,0,2,0,0,0,19003,3500,21876,0,21231,1500,22071,1500,23211,1100,23773,2100,0
7605,2.00E+05,2,2,1,46,-1,-1,-1,0,0,0,722,9086,9086,9219,9213,147,7360,4200,11560,11808,21808,4067,0
7606,390000,2,2,1,39,-1,-1,-1,-1,-1,0,827,827,827,827,827,1036,1036,15000,15209,1000,15156,1000,0
7607,90000,2,2,2,25,0,0,0,0,0,0,78651,3600,79972,3805,81415,3100,81878,3200,83206,4100,85350,2500,1
7608,130000,2,1,2,27,1,-1,0,0,-1,-1,0,1483,1483,1000,2450,0,0,1089,1089,2249,2249,2184,0
7609,120000,2,2,2,33,1,-1,2,-1,3,2,0,974,974,0,194,1954,1758,0,1450,0,520,950,1
7610,160000,2,2,1,35,-1,-1,-2,-2,-1,-1,549,0,0,0,0,0,0,1893,1893,0,0,177,0
7611,70000,2,2,2,24,2,2,-1,2,2,2,71339,6,69515,62343,59878,0,58318,4500,61865,3000,63695,2500,0
7612,80000,1,3,1,60,0,0,0,0,0,0,68085,10000,70604,1500,26890,1000,27450,1100,27634,1041,28216,1500,0
7613,250000,2,2,2,36,0,0,0,0,0,0,62131,2741,63238,1741,51547,1824,48483,1942,49553,2100,49683,1366,0
7614,240000,1,2,2,37,0,0,0,0,0,0,171974,8000,175049,7000,176990,6000,169198,5200,166131,5400,169245,5400,0
7615,50000,2,2,2,49,0,0,0,0,0,0,12272,2005,7980,2000,7959,1019,8978,3007,7357,3008,7841,5015,0
7616,30000,2,3,2,23,0,0,0,0,-1,-1,2277,1078,3158,1000,4080,1000,5080,150,150,178,178,300,0
7617,50000,1,3,1,51,2,0,0,0,0,0,55028,3000,50184,1600,50391,1000,19867,1000,20154,1000,18732,1000,1
7618,80000,2,2,2,24,-1,-1,2,0,0,0,2152,2245,3832,0,3587,267,3332,68,3400,0,-300,0,1
7619,130000,1,2,1,47,0,0,0,0,0,-2,109640,8436,109699,2270,91200,0,45400,0,0,0,0,0,0
7620,50000,1,3,2,23,0,0,0,0,0,0,47033,1707,43512,1318,32287,496,34156,1076,14618,708,3648,20027,0
7621,2.00E+05,1,2,1,39,1,-2,-2,-2,-1,2,-390,0,-390,0,-390,0,-391,1101,710,1,321,13988,0
7622,140000,1,3,1,33,0,0,0,0,0,0,140795,3609,93199,2039,64487,3014,53220,2514,50051,1656,45859,1005,0
7623,30000,2,1,2,23,0,0,0,0,0,0,18397,2000,19789,2000,21450,1300,22391,1000,23029,1100,23745,2000,0
7624,20000,2,1,2,25,1,2,2,2,2,2,11729,1000,12236,6000,17994,0,17412,1600,18422,800,18768,800,0
7625,70000,1,2,2,29,0,0,0,0,2,2,18312,1500,19516,1500,20685,1800,22142,1700,23340,0,22817,1300,0
7626,20000,2,3,3,48,0,0,0,0,0,0,19590,1308,19120,1593,18932,800,18749,700,18620,741,18668,531,0
7627,410000,1,1,1,42,0,0,0,0,0,0,27559,3000,29866,2800,32233,3000,34450,3000,36954,3000,39251,2000,0
7628,250000,1,1,1,41,-1,-1,-1,-1,-1,-1,390,390,390,390,390,1130,1130,1683,1683,2587,2587,0,1
7629,140000,2,2,2,27,2,0,0,0,0,0,136308,5150,137077,7750,138919,5000,138035,5379,138857,5200,138894,4850,1
7630,90000,2,1,2,26,0,0,0,0,0,0,17704,5005,14478,5145,17681,1801,15240,5024,19364,8007,18828,5046,0
7631,340000,1,1,1,38,-1,-1,-1,-1,-1,-1,325,325,325,325,325,580,580,9664,9664,29200,29200,5260,0
7632,230000,2,2,1,28,-1,-1,-1,-1,-1,-1,1190,1716,1716,0,0,1012,1012,0,0,753,753,7600,0
7633,80000,1,3,2,33,0,0,2,2,2,2,30013,4000,33514,2000,34662,2000,35784,2000,37065,0,36320,3600,0
7634,50000,2,2,2,42,0,0,0,0,0,0,51521,1451,46015,13609,15057,13327,19825,250,4264,1000,3690,700,1
7635,60000,2,2,1,35,0,0,0,0,0,0,60505,2300,60820,2000,54853,1500,39112,1500,39714,1600,38850,1400,0
7636,50000,2,2,2,24,0,0,0,0,2,0,8587,1500,9941,1481,10950,1050,11519,0,11191,903,11903,333,0
7637,210000,2,2,2,28,0,0,0,0,0,0,145643,4741,133339,5778,137000,1955,55855,3370,58370,1913,59537,1998,0
7638,140000,2,1,2,27,0,0,0,0,0,0,135249,5500,138577,5700,141555,4200,110852,4700,113639,3800,95052,4000,0
7639,20000,1,3,2,32,0,0,0,0,2,2,4338,1092,5355,1106,6369,628,6891,0,6635,762,7287,0,0
7640,20000,1,3,3,48,1,-2,-1,0,0,0,-739,0,-5978,42400,16089,289,14457,201,20106,410,10258,0,1
7641,230000,1,1,2,32,-2,-2,-2,-2,-2,-2,2785,1223,3943,1000,3126,0,3126,0,500,0,500,0,0
7642,210000,1,2,2,27,0,0,0,0,0,0,30365,1606,29858,2000,30713,1200,27644,1200,26236,1000,26312,1000,0
7643,20000,1,2,2,34,0,0,0,0,0,0,36773,3210,17288,2000,16212,1600,17567,871,16089,5214,20743,300,0
7644,50000,2,2,2,24,0,0,0,0,0,2,45537,2100,46601,1760,47276,1707,48224,2602,48760,1000,48382,1640,0
7645,30000,1,3,2,49,0,-1,-1,0,-1,-1,15966,262,240,20416,17433,852,16865,29220,29220,728,11400,0,0
7646,50000,2,2,2,36,0,0,0,0,0,0,37329,1500,32540,1500,26601,1200,27358,1100,28017,1042,28593,1009,1
7647,150000,2,1,1,30,1,2,-1,0,-1,2,44820,0,14657,20962,20950,1,3601,696,696,0,696,50348,0
7648,160000,1,2,1,57,-1,2,2,-1,-1,-1,2008,0,280,0,-110,687,187,400,197,500,307,700,0
7649,90000,2,3,1,42,0,0,0,0,0,0,14376,1278,15374,1086,11195,581,8948,273,9143,227,6003,162,0
7650,150000,1,2,1,39,-1,-1,-1,-1,-1,-1,10086,32400,32353,13181,13181,2020,2010,7790,7790,0,0,0,0
7651,2.00E+05,1,3,2,36,-2,-2,-2,-2,-2,-2,45810,0,0,0,0,0,0,0,0,0,0,40714,1
7652,170000,1,1,1,40,0,0,0,0,0,0,171841,7540,171014,7540,168142,6301,169821,6517,173014,6035,163570,6435,0
7653,1.00E+05,2,2,1,38,0,0,0,0,0,2,84883,4000,86616,4500,88207,3500,89428,8000,95895,4000,93092,0,0
7654,20000,1,3,1,39,0,0,0,0,0,0,16946,1529,14960,1161,12772,409,12630,444,12524,405,11179,163,0
7655,30000,1,1,2,24,0,0,0,0,0,0,27576,1500,27089,1500,27986,1050,28580,1100,28649,1000,29147,2000,0
7656,2.00E+05,1,1,2,32,0,0,0,-2,-2,-2,42325,2000,32061,0,0,0,0,0,0,0,0,0,0
7657,180000,1,2,1,46,-1,-1,-1,-1,-1,-1,390,390,390,390,390,0,0,390,390,930,930,135,0
7658,160000,2,2,1,44,1,-1,0,0,0,-2,0,5621,5621,1000,6468,132,6600,0,0,0,0,0,0
